
A T O M   T Y P E S

IDX	TYPE	RING
1	C_3	NO
2	O_2	NO
3	C_R	AR
4	C_R	AR
5	C_R	AR
6	C_R	AR
7	C_R	AR
8	C_R	AR
9	N_R	AR
10	C_R	AR
11	N_R	AR
12	S_3+2	NO
13	O_2	NO
14	C_3	NO
15	C_R	AR
16	N_R	AR
17	C_R	AR
18	C_R	AR
19	C_3	NO
20	C_R	AR
21	O_2	NO
22	C_3	NO
23	C_R	AR
24	C_3	NO
25	H_	NO
26	H_	NO
27	H_	NO
28	H_	NO
29	H_	NO
30	H_	NO
31	H_	NO
32	H_	NO
33	H_	NO
34	H_	NO
35	H_	NO
36	H_	NO
37	H_	NO
38	H_	NO
39	H_	NO
40	H_	NO
41	H_	NO
42	H_	NO
43	H_	NO

S E T T I N G   U P   C A L C U L A T I O N S

SETTING UP BOND CALCULATIONS...
SETTING UP ANGLE CALCULATIONS...
SETTING UP TORSION CALCULATIONS...
SETTING UP OOP CALCULATIONS...
SETTING UP VAN DER WAALS CALCULATIONS...

S T E E P E S T   D E S C E N T

STEPS = 10000

STEP n       E(n)         E(n-1)    
------------------------------------
    0     682.459      ----
   10    505.41466    507.89709
   20    489.93662    491.03559
   30    481.53664    482.22179
   40    475.86907    476.35806
   50    471.67012    472.04221
   60    468.40926    468.70267
   70    465.80282    466.03987
   80    463.67397    463.86931
   90    461.90270    462.06654
  100    460.40376    460.54345
  110    459.11502    459.23596
  120    457.99048    458.09669
  130    456.99571    457.09023
  140    456.10475    456.18985
  150    455.29783    455.37527
  160    454.55983    454.63094
  170    453.87907    453.94490
  180    453.24648    453.30783
  190    452.65494    452.71246
  200    452.09882    452.15302
  210    451.57364    451.62491
  220    451.07576    451.12444
  230    450.60222    450.64859
  240    450.15060    450.19487
  250    449.71885    449.76121
  260    449.30526    449.34587
  270    448.90837    448.94737
  280    448.52692    448.56443
  290    448.15981    448.19593
  300    447.80607    447.84090
  310    447.46486    447.49846
  320    447.13539    447.16785
  330    446.81699    446.84837
  340    446.50903    446.53939
  350    446.21094    446.24034
  360    445.92220    445.95069
  370    445.64234    445.66996
  380    445.37091    445.39771
  390    445.10751    445.13352
  400    444.85176    444.87702
  410    444.60330    444.62785
  420    444.36182    444.38568
  430    444.12700    444.15020
  440    443.89855    443.92113
  450    443.67622    443.69820
  460    443.45975    443.48115
  470    443.24889    443.26974
  480    443.04343    443.06375
  490    442.84315    442.86296
  500    442.64785    442.66718
  510    442.45736    442.47621
  520    442.27149    442.28988
  530    442.09006    442.10802
  540    441.91294    441.93047
  550    441.73995    441.75708
  560    441.57096    441.58770
  570    441.40584    441.42219
  580    441.24445    441.26043
  590    441.08666    441.10229
  600    440.93237    440.94766
  610    440.78146    440.79641
  620    440.63382    440.64845
  630    440.48935    440.50367
  640    440.34794    440.36196
  650    440.20951    440.22324
  660    440.07397    440.08741
  670    439.94122    439.95438
  680    439.81118    439.82408
  690    439.68378    439.69641
  700    439.55893    439.57131
  710    439.43655    439.44868
  720    439.31658    439.32848
  730    439.19894    439.21061
  740    439.08358    439.09503
  750    438.97043    438.98165
  760    438.85942    438.87044
  770    438.75049    438.76130
  780    438.64360    438.65421
  790    438.53867    438.54909
  800    438.43567    438.44589
  810    438.33453    438.34457
  820    438.23520    438.24506
  830    438.13764    438.14733
  840    438.04181    438.05132
  850    437.94764    437.95699
  860    437.85508    437.86427
  870    437.76411    437.77315
  880    437.67470    437.68358
  890    437.58678    437.59551
  900    437.50032    437.50891
  910    437.41526    437.42371
  920    437.33157    437.33989
  930    437.24921    437.25740
  940    437.16814    437.17620
  950    437.08834    437.09627
  960    437.00976    437.01757
  970    436.93237    436.94006
  980    436.85614    436.86372
  990    436.78104    436.78850
 1000    436.70704    436.71440
 1010    436.63412    436.64137
 1020    436.56223    436.56938
 1030    436.49137    436.49842
 1040    436.42150    436.42845
 1050    436.35258    436.35944
 1060    436.28460    436.29136
 1070    436.21749    436.22417
 1080    436.15126    436.15785
 1090    436.08588    436.09238
 1100    436.02132    436.02775
 1110    435.95758    435.96392
 1120    435.89462    435.90089
 1130    435.83241    435.83861
 1140    435.77094    435.77706
 1150    435.71016    435.71622
 1160    435.65005    435.65604
 1170    435.59056    435.59649
 1180    435.53169    435.53756
 1190    435.47342    435.47923
 1200    435.41574    435.42149
 1210    435.35864    435.36433
 1220    435.30206    435.30771
 1230    435.24599    435.25159
 1240    435.19040    435.19595
 1250    435.13526    435.14076
 1260    435.08057    435.08602
 1270    435.02631    435.03172
 1280    434.97246    434.97783
 1290    434.91899    434.92432
 1300    434.86585    434.87116
 1310    434.81305    434.81832
 1320    434.76053    434.76578
 1330    434.70823    434.71346
 1340    434.65616    434.66136
 1350    434.60435    434.60953
 1360    434.55276    434.55792
 1370    434.50137    434.50651
 1380    434.45015    434.45527
 1390    434.39904    434.40415
 1400    434.34809    434.35319
 1410    434.29726    434.30235
 1420    434.24642    434.25151
 1430    434.19551    434.20061
 1440    434.14452    434.14963
 1450    434.09351    434.09862
 1460    434.04248    434.04759
 1470    433.99133    433.99646
 1480    433.93994    433.94510
 1490    433.88834    433.89351
 1500    433.83896    433.84329
 1510    433.80452    433.80763
 1520    433.77374    433.77681
 1530    433.74309    433.74615
 1540    433.71250    433.71556
 1550    433.68202    433.68507
 1560    433.65155    433.65460
 1570    433.62109    433.62414
 1580    433.59063    433.59368
 1590    433.56012    433.56317
 1600    433.52969    433.53274
 1610    433.49929    433.50233
 1620    433.46889    433.47194
 1630    433.43844    433.44149
 1640    433.40793    433.41099
 1650    433.37744    433.38050
 1660    433.34688    433.34995
 1670    433.31624    433.31931
 1680    433.28553    433.28861
 1690    433.25466    433.25776
 1700    433.22360    433.22672
 1710    433.19239    433.19553
 1720    433.16106    433.16420
 1730    433.12962    433.13278
 1740    433.09795    433.10113
 1750    433.06608    433.06928
 1760    433.03399    433.03721
 1770    433.00162    433.00488
 1780    432.96887    432.97217
 1790    432.93579    432.93912
 1800    432.90237    432.90574
 1810    432.86852    432.87193
 1820    432.83420    432.83766
 1830    432.80183    432.80454
 1840    432.77943    432.78153
 1850    432.75858    432.76066
 1860    432.73775    432.73984
 1870    432.71685    432.71894
 1880    432.69592    432.69801
 1890    432.67499    432.67709
 1900    432.65403    432.65613
 1910    432.63302    432.63513
 1920    432.61195    432.61406
 1930    432.59079    432.59292
 1940    432.56951    432.57165
 1950    432.54813    432.55027
 1960    432.52660    432.52876
 1970    432.50492    432.50709
 1980    432.48313    432.48532
 1990    432.46126    432.46345
 2000    432.43925    432.44146
 2010    432.41710    432.41933
 2020    432.39486    432.39708
 2030    432.37253    432.37478
 2040    432.35007    432.35232
 2050    432.32743    432.32971
 2060    432.30454    432.30684
 2070    432.28142    432.28375
 2080    432.25800    432.26036
 2090    432.23425    432.23665
 2100    432.21028    432.21269
 2110    432.18612    432.18855
 2120    432.16168    432.16414
 2130    432.13685    432.13935
 2140    432.11169    432.11422
 2150    432.08616    432.08874
 2160    432.06034    432.06294
 2170    432.03422    432.03685
 2180    432.00770    432.01038
 2190    431.98126    431.98375
 2200    431.96120    431.96293
 2210    431.94419    431.94589
 2220    431.92715    431.92887
 2230    431.91003    431.91175
 2240    431.89276    431.89450
 2250    431.87533    431.87707
 2260    431.85777    431.85954
 2270    431.84015    431.84191
 2280    431.82243    431.82421
 2290    431.80458    431.80637
 2300    431.78658    431.78839
 2310    431.76843    431.77026
 2320    431.75025    431.75207
 2330    431.73194    431.73378
 2340    431.71349    431.71535
 2350    431.69488    431.69675
 2360    431.67617    431.67805
 2370    431.65730    431.65919
 2380    431.63843    431.64032
 2390    431.61942    431.62133
 2400    431.60012    431.60207
 2410    431.58049    431.58247
 2420    431.56073    431.56271
 2430    431.54069    431.54271
 2440    431.52041    431.52246
 2450    431.49980    431.50187
 2460    431.47890    431.48101
 2470    431.45769    431.45984
 2480    431.43615    431.43832
 2490    431.41445    431.41663
 2500    431.39248    431.39469
 2510    431.37023    431.37248
 2520    431.34745    431.34976
 2530    431.32441    431.32673
 2540    431.30211    431.30414
 2550    431.28485    431.28643
 2560    431.26927    431.27082
 2570    431.25370    431.25526
 2580    431.23806    431.23963
 2590    431.22229    431.22388
 2600    431.20638    431.20798
 2610    431.19038    431.19199
 2620    431.17421    431.17584
 2630    431.15784    431.15948
 2640    431.14136    431.14302
 2650    431.12473    431.12639
 2660    431.10806    431.10974
 2670    431.09120    431.09289
 2680    431.07415    431.07587
 2690    431.05690    431.05863
 2700    431.03947    431.04123
 2710    431.02188    431.02365
 2720    431.00401    431.00582
 2730    430.98579    430.98762
 2740    430.96733    430.96919
 2750    430.94858    430.95046
 2760    430.92952    430.93144
 2770    430.91013    430.91208
 2780    430.89040    430.89240
 2790    430.87028    430.87231
 2800    430.84991    430.85198
 2810    430.82920    430.83129
 2820    430.80822    430.81034
 2830    430.78682    430.78899
 2840    430.76490    430.76712
 2850    430.74250    430.74475
